Length,Diameter
1208.52,40.85
832.75,34.14
555.61,12.5
472.52,13.33
1342.2,17.51
654.36,15.19
188.51,16.89
241.71,14.95
254.72,18.9
222.65,17.33
573.98,4.29
1041.36,10.77
474.87,33.44
747.84,15.24
169.16,18.41
160.53,15.04
1042.47,24.2
1444.4,16.49
169.23,12.38
373.3,37.63
3565.8,11.43
1547.51,8.9
596.56,3.84
1090.23,8.57
966.44,10.44
835.13,16.22
9479.88,10.19
148.9,8.18
172.62,4.39
128.16,5.24
959.37,23.04
116.97,17.72
319.17,24.34
202.67,8.86
452.12,19.43
741.85,31.48
864.2,17.51
219.89,10.87
235.65,16.18
118.84,12.14
409.89,15.72
398.81,22.86
304.17,16.01
2631.08,18.6
766.28,25.21
5295.69,6.26
407.98,18.13
357.67,3.93
3393.11,30.24
282.28,30.49
1585.41,20.72
254,13.84
1473.74,22.99
175.38,17.93
487.8,34.41
603.79,29.52
139.47,15.5
619.36,19.43
1291.84,23.57
2086.24,19.48
371.7,14.79
985.74,48.02
3030.99,12.32
559.44,14.57
684.1,21.34
895.83,16.51
882.39,19.6
246.47,9.82
620.65,18.2
956.03,23.03
420.4,19.3
658.49,7.41
998.99,13.1
927.53,9.82
137.49,16.16
683.47,9.18
982.22,26.26
590.48,6.48
109.84,5.15
3103.7,33.9
769.76,27.74
603.33,24.47
1659.16,29.06
1146.12,17.03
1736.56,31.96
1248.5,9.71
1206.69,9.36
446.7,20.03
1025.17,14.79
2413.05,28.3
2090.33,22.67
1442.15,12.99
4612.03,18.62
1850.54,21.72
858.31,24.77
2176.44,22.6
2280.69,17.38
2497.61,17.15
1452.51,15.8
784.67,15.06
984.41,12.29
959.85,16.28
1039.57,10.19
608.37,24.36
817.58,11.76
1220.95,17.21
2162.51,17.08
1175.54,14.88
656.83,13.22
912.17,12.61
1473.01,11.29
1458.31,17.52
620.7,12.53
1502.21,11.04
417.96,27.71
341.06,28.32
337.22,29.66
944.25,30.31
981.29,12.49
438.67,14.95
449.48,15.66
172.44,18.52
392.75,19.05
623.77,15.62
569.57,15.97
672.32,11.36
1009.7,21.93
153.85,7.41
64.52,6.21
1464.81,15.5
5400.99,12.82
753.02,21.64
746.92,27.01
940.72,39.07
963.55,24.48
896.82,8.61
1287.28,26.7
2829.3,20.87
1880.27,26.38
309.75,31.39
1079.16,34.04
606.44,12.95
1101.82,20.79
1864.62,16.95
2965.1,11.8
1571.33,24.42
639.58,26.77
256.65,8.1
85.44,23.25
